,pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
81,RWR & VNQ,short,2024-06-28,2024-07-25,19,2.203478246435194,-0.2683496285917563,0.04309120835981073,0.026863392334841585,0.016285645533010484
82,RWR & VNQ,long,2024-09-23,2024-10-23,23,-2.013287730614952,-0.2833603441989082,0.01564841821727203,0.027947796817668014,0.01228586022493472
83,VAW & GDX,long,2020-02-25,2020-06-03,70,-2.2094502390672637,-0.2074407403172515,-0.27140667085204306,-0.2871002006516852,-0.07597821206720878
84,VAW & GDX,short,2020-11-09,2022-01-20,302,2.1858726695555952,0.4353657432066708,-0.19171954177814232,0.1263194524586977,-0.28691744350349546
85,VAW & GDX,long,2022-03-07,2022-03-25,15,-2.931416807585305,-0.46475320919227775,-0.008166418735840786,0.09209370780356618,0.10381483372934919
86,VAW & GDX,long,2022-06-16,2022-07-19,22,-2.4148954148370567,-0.40913929977814495,0.008692926396765444,0.08543784892444872,0.0785146349799779
87,VAW & GDX,long,2023-03-17,2023-06-07,57,-2.0028982498439647,-0.09052605373152475,0.03472848372073756,0.08455042105293042,0.045541685785179586
88,VAW & GDX,short,2024-02-13,2024-04-11,41,2.0708152766674512,0.3772396817816424,0.20121103875151647,0.16871177138489557,0.03185982814017696
89,XLB & GDX,long,2020-02-25,2020-06-02,69,-2.1818970749723228,-0.47656220771174235,-0.26193153424786786,-0.31030237091649404,-0.1064123580850388
90,XLB & GDX,short,2020-11-09,2022-01-20,302,2.304786723769847,0.4026991799611034,-0.1713514418067268,0.13065697513765162,-0.274779481528974
91,XLB & GDX,long,2022-03-01,2022-04-27,41,-2.3772021619557684,-0.4788766054884206,0.025481016111934096,0.08859750030951119,0.06051877440980258
92,XLB & GDX,long,2023-03-15,2023-06-07,59,-2.0284080805452906,-0.22099070370704998,0.04952080684711202,0.07530865653537244,0.020064658239307365
93,XLB & GDX,short,2024-02-09,2024-04-11,43,2.0567029820645892,0.3330512118329326,0.18147246902900438,0.16123425863083707,0.01926830280166647
94,XLF & VFH,long,2019-07-30,2019-08-02,4,-2.667078527620574,0.006046133521253492,-0.019428966800647984,-0.016384139565100764,0.0030439126074361944
95,XLF & VFH,long,2019-08-07,2019-08-15,7,-2.3360624983056257,0.2453238111501741,-0.019796808374277663,-0.01628915750068405,0.0035032218034882767
96,XLF & VFH,long,2019-09-20,2019-09-26,5,-3.2125361188285746,0.39041409936571186,-0.023256069175269012,-0.01715009687401592,0.00610000873925709
97,XLF & VFH,short,2019-12-16,2019-12-23,6,3.8789609369709352,-0.21440397304837952,-0.005115738337373443,-0.011285885311834054,0.0061765952221126685
98,XLF & VFH,long,2020-02-20,2020-02-25,4,-2.1282247389860025,-0.34446169806184357,-0.01369866872210368,-0.011031508829546066,0.002668466991967433
99,XLF & VFH,short,2020-03-09,2020-04-27,35,3.962704177564161,0.05365385910140857,-0.0035643660021897894,0.012869578105534796,-0.016739864193500376
100,XLF & VFH,short,2020-09-08,2020-10-01,18,2.2553589086570867,0.27507598051994936,0.011084949251740195,0.011884170366583735,-0.0008345134751632788
101,XLF & VFH,long,2020-12-11,2020-12-18,6,-2.532367208830696,0.05996849713125036,-0.00923970665951801,-0.0035794673411415623,0.005647563693969904
102,XLF & VFH,long,2021-02-09,2021-02-17,6,-2.3775469580948165,-0.3567114512983251,-0.013120600396283155,-0.009116208610206122,0.00400321163685069
103,XLF & VFH,long,2021-03-11,2021-03-26,12,-2.078261933981535,-0.32585927499131745,-0.014237353030985389,-0.013080637914561155,0.0011352354264111408
104,XLF & VFH,short,2021-05-10,2021-06-08,21,2.4341288416238975,0.28337245886543044,-0.004580377119827617,-0.006771662932754996,0.0021471479086090373
105,XLF & VFH,short,2021-07-14,2021-07-27,10,2.013818113494807,0.32820200321083115,-0.002004317737000161,-0.005023457577454149,0.0030205501543068003
106,XLF & VFH,long,2021-08-31,2021-09-14,10,-2.2846827222385357,-0.023027921293626706,-0.008052958892545092,-0.00574859834919339,0.0023037245112857985
107,XLF & VFH,long,2021-09-20,2021-09-29,8,-2.8729479431787923,0.07816195524018749,-0.011557220147165648,-0.006941042581626977,0.00461272204474783
108,XLF & VFH,long,2021-11-01,2021-11-29,20,-2.871827846354084,-0.4771611474705437,-0.01545859365875124,-0.016034741440227762,-0.000589426848898067
109,XLF & VFH,short,2021-12-16,2022-02-15,42,3.4343322302319375,0.46295925820944744,0.0013514151758826642,-0.00233119677151139,0.0036309519212454067
110,XLF & VFH,short,2022-03-07,2022-03-22,12,2.9239254780313737,0.21746421803503346,0.004176796208231082,0.00021358492293144238,0.003949187977443813
111,XLF & VFH,short,2022-03-24,2022-04-04,8,2.3679978391330914,0.4018094197173432,0.006252699844834453,0.002352644497967571,0.003890534436810311
112,XLF & VFH,short,2022-04-07,2022-05-02,17,2.447447435866432,-0.2610716071946086,0.010122365697529112,0.004548592887536174,0.005563562952632495
113,XLF & VFH,long,2022-08-01,2022-08-29,21,-2.1237767786641037,0.020183122851887732,-0.004157273930268879,-0.0019234300861894482,0.0022295202671889225
114,XLF & VFH,long,2022-09-19,2022-10-06,14,-3.0886049202211723,0.2981967716525034,-0.008639527735119668,-0.0024468505806773955,0.006179325527996271
115,XLF & VFH,short,2022-11-17,2023-01-12,38,2.028382779896988,-0.09123699318064638,0.0053487738216371206,0.009428990657887493,-0.0041547040704338345
